,0,category,2cat
1792,ASSORTED TUTTI FRUTTI PEN,Stationery,Stationery
1793,ASS FLORAL PRINT SPIRIT LEVEL ,"This product can be classified under the category of ""Tools"" or ""Home Improvement.""","['Home', 'Improvement']"
1794,COLUMBIAN CANDLE ROUND,"This product falls under the ""Lighting"" category.",Lighting
1795,FUSCHIA FLOWER PURSE WITH BEADS,This product can be classified as 'Fashion Accessories'.,"[""'Fashion"", 'Accessories']"
1796,ROSE SCENT CANDLE IN JEWELLED BOX,"This product falls under the category of ""Decor.""",Decor
1797,OCEAN SCENT CANDLE IN JEWELLED BOX,"This product can be classified under the category of ""Home Decor"" or more specifically ""Home Fragrance"".","['Home', 'Fragrance']"
1798,NURSE'S BAG SOFT TOY,"This product would likely fall under the ""Toys"" category.",Toys
1799,CHRISTMAS TREE PAINTED ZINC ,"This product belongs to the ""Decor"" category.",Decor
1800,ANGEL DECORATION PAINTED ZINC ,Decor,Decor
1801,PINK/WHITE RIBBED MELAMINE JUG,This product falls under the category of Drinkware.,Drinkware
1802,MODERN VINTAGE COTTON SHOPPING BAG,"This product falls under the category of ""Fashion & Accessories"".","['Fashion', 'Accessories']"
1803,STRAWBERRY   PICNIC BAG,"This product can be classified under the category of ""Outdoor and Picnic Accessories.""","['Picnic', 'Accessories']"
1804,PINK DOG BOWL,Category: Pet Supplies,"['Pet', 'Supplies']"
1805,GLASS JAR PEACOCK BATH SALTS,Wellness,Wellness
1806,BATHROOM SCALES FOOTPRINTS IN SAND,This product belongs to the category of Wellness.,Wellness
1807,NEW BAROQUE BLACK PHOTO ALBUM,"This product falls under the category of Decor or Stationery, depending on the intended use of the photo album.","['photo', 'album']"
1808,SCENTED VELVET LOUNGE CANDLE ,"This product falls into the category of ""Home Fragrance"" or ""Candles"".","['Fragrance', 'Candles']"
1809,BLUE FLOCK GLASS CANDLEHOLDER,This product falls under the category of Decor.,Decor
1810,SILVER GLITTER FLOWER VOTIVE HOLDER,This product is classified in the category of Decor.,Decor
1811,GOLD MUG BONE CHINA TREE OF LIFE,This product belongs to the Drinkware category.,Drinkware
1812,SCANDINAVIAN 3 HEARTS NAPKIN RING,Decor,Decor
1813,3 ROSE MORRIS BOXED CANDLES,"This product falls under the ""Decor"" category.",Decor
1814,PINK BAROQUE FLOCK CANDLE HOLDER,Decor,Decor
1815,SEWING BOX RETROSPOT DESIGN ,This product belongs to the category of Stationery.,Stationery
1816,SILVER HOOP EARRINGS WITH FLOWER,This product belongs to the category of Jewelry.,Jewelry
1817,SILVER BRACELET W PASTEL FLOWER,"This product would fall under the category of ""Jewelry"".",Jewelry
1818,MIDNIGHT BLUE GLASS/SILVER BRACELET,"This product would fall under the ""Jewelry"" category.",Jewelry
1819,BLACK/WHITE GLASS/SILVER BRACELET,"This product would fall under the category of ""Jewelry"".",Jewelry
1820,CRACKED GLAZE NECKLACE IVORY,This product falls under the category of Jewelry.,Jewelry
1821,CRACKED GLAZE EARRINGS IVORY,This product belongs to the category of Jewelry.,Jewelry
1822,?,"I'm sorry, but I need a product description to classify. Please provide me with a description of the product you would like to be classified.","['description', 'product']"
1823,GLITTER HANGING BUTTERFLY STRING,"This product belongs to the ""Decor"" category.",Decor
1824,SET OF 6 HEART CHOPSTICKS,This product falls under the category of Kitchen & Dining.,"['Kitchen', 'Dining']"
1825,MULTI HEARTS  STICKERS,Stationery,Stationery
1826,FRENCH LAUNDRY SIGN BLUE METAL,"This product can be classified under the ""Decor"" category.",Decor
1827,FORKED CACTUS CANDLE,"This product belongs to the ""Decor"" category.",Decor
1828,WAKE UP COCKEREL CALENDAR SIGN ,"This product belongs to the ""Decor"" category.",Decor
1829,ENAMEL BLUE RIM COFFEE CONTAINER,This product can be classified as 'Drinkware'.,"['product', ""'Drinkware""]"
1830,ENAMEL BLUE RIM BISCUIT BIN,"This product can be classified under the ""Kitchen Storage"" category.",Storage
1831,FLOWER FAIRY INCENSE BOUQUET,This product falls under the category of Wellness.,Wellness
1832,GLITTER SNOW PEAR TREE DECORATION,This product falls under the category of Decor.,Decor
1833,CAT BOWL VINTAGE CREAM,"This product falls under the category of ""Pet Supplies"".","['Pet', 'Supplies']"
1834,3 WHITE CHOC MORRIS BOXED CANDLES,"This product belongs to the ""Home Decor"" category.",Decor
1835,4 BLUE DINNER CANDLES SILVER FLOCK,"This product falls under the category of ""Home Decor"".","['Home', 'Decor']"
1836,DANISH ROSE ROUND SEWING BOX,This product falls under the category of **Crafts & Sewing**.,"['*', '*']"
1837,CRYSTAL DIAMANTE EXPANDABLE RING,This product belongs to the category of Jewelry.,Jewelry
1838,WHITE GLASS CHUNKY CHARM BRACELET,This product belongs to the category of Jewelry.,Jewelry
1839,RIBBON REEL HEARTS DESIGN ,This product can be classified under the category of Stationery.,Stationery
1840,ANT SILVER LIME GREEN BOUDICCA RING,This product falls under the category of Jewelry.,Jewelry
1841,ANT SILVER PURPLE BOUDICCA RING,This product falls under the category of Jewelry.,Jewelry
1842,VINTAGE UNION JACK PENNANT,Stationery,Stationery
1843,BEADED LOVE HEART JEWELLERY SET,This product falls under the category of Jewelry.,Jewelry
1844,MAGNETS PACK OF 4 VINTAGE LABELS ,The product 'MAGNETS PACK OF 4 VINTAGE LABELS' would fall under the category of Decor.,Decor
1845,HAPPY STENCIL CRAFT,Stationery,Stationery
1846,ASS DES PHONE SPONGE CRAFT STICKER,Stationery,Stationery
1847,SWEETHEART WIRE FRUIT BOWL,This product would fall under the category of Decor.,Decor
1848,COFFEE MUG PINK PAISLEY DESIGN,This product belongs to the category of Drinkware.,Drinkware
1849,YELLOW FLOWERS FELT HANDBAG KIT,This product falls under the category of Craft or DIY (Do It Yourself).,"['Craft', 'DIY']"
1850,WHITE TISSUE REAM,This product can be classified under the category of Stationery.,Stationery
1851,FELT FARM ANIMAL CHICKEN,This product falls under the category of Decor.,Decor
1852,"SMALL POP BOX,FUNKY MONKEY","The product 'SMALL POP BOX,FUNKY MONKEY' can be classified as a Decor item.","['Decor', 'item']"
1853,STRIPES DESIGN TEDDY,"This product would likely fall under the category of ""Toys"" or ""Stuffed Animals"".","['Toys', 'Animals']"
1854,CERAMIC STRAWBERRY TRINKET TRAY,Decor,Decor
1855,PAPERWEIGHT CHILDHOOD MEMORIES,This product falls into the category of Decor.,Decor
1856,PINK PAINTED KASHMIRI CHAIR,"This product could fall into the ""Furniture"" category.",Furniture
1857,75 BLACK PETIT FOUR CASES,This product falls under the category of 'Bakeware'.,'Bakeware
1858,CREAM FELT EASTER EGG BASKET,This product falls under the category of Decor.,Decor
1859,BLUE FELT EASTER EGG BASKET,This product can be classified under the category of Decor.,Decor
1860,SMALL CHOCOLATES PINK BOWL,This product falls under the category of Food or Giftware.,"['Food', 'Giftware']"
1861,12 PINK ROSE PEG PLACE SETTINGS,The product '12 PINK ROSE PEG PLACE SETTINGS' can be classified under the category of Decor.,Decor
1862,UNION FLAG WINDSOCK,"This product falls into the ""Outdoor Decor"" category.",Decor
1863,FLOOR LAMP SHADE WOOD BASE,This product belongs to the category of Lighting.,Lighting
1864,ETCHED GLASS COASTER,This product belongs to the category of Drinkware.,Drinkware
1865,BUTTERFLY CROCHET FOOD COVER,This product can be classified in the category of Home and Kitchen Decor.,"['Kitchen', 'Decor']"
1866,PING MICROWAVE APRON,This product falls under the category of Kitchenware or Cooking Essentials.,"['Cooking', 'Essentials']"
1867,APRON APPLE DELIGHT,"This product falls into the category of Kitchen & Dining, specifically under the subcategory of Kitchen Linens due to it being an apron.","['Linens', 'apron']"
1868,GINGHAM OVEN GLOVE RED HEART ,"This product falls under the category of Kitchen & Dining, specifically under the subcategory of Kitchen Linens or Kitchen Accessories.","['Kitchen', 'Accessories']"
1869,PINK GLASS CANDLEHOLDER,"This product falls under the ""Decor"" category.",Decor
1870,CHRISTMAS MUSICAL ZINC TREE,"This product would likely fall under the category of ""Holiday Decor"" or ""Christmas Decor.""","['Christmas', 'Decor']"
1871,MAGIC DRAWING SLATE LEAP FROG ,This product can be classified as a children's toy or stationery item.,"['toy', 'item']"
1872,PERIWINKLE T-LIGHT HOLDER,This product falls under the category of Lighting.,Lighting
1873,SILICON STAR BULB  BLUE,This product falls under the category of Lighting.,Lighting
1874,LARGE MEDINA STAMPED METAL BOWL ,This product can be classified under the category of Decor.,Decor
1875,BLUE NETTING STORAGE HANGER,This product falls under the category of Home Organization.,"['Home', 'Organization']"
1876,TABLECLOTH RED APPLES DESIGN ,"This product falls under the category of ""Decor"", specifically in the subcategory of ""Table Linens"".","['subcategory', 'Linens']"
1877,"SILICON CUBE 25W, BLUE",This product would fall under the category of Lighting.,Lighting
1878,SET/6 COLLAGE PAPER PLATES,This product belongs to the category of Decor.,Decor
1879,MULTICOLOUR HONEYCOMB FAN,This product belongs to the category of Decor.,Decor
1880,RETROSPOT PADDED SEAT CUSHION,This product would fall under the category of Decor.,Decor
1881,MADRAS NOTEBOOK LARGE ,This product is classified as Stationery.,"['product', 'Stationery']"
1882,VINTAGE BEAD NOTEBOOK,"This product can be classified as ""Stationery.""","['product', 'Stationery']"
1883,BEADED CRYSTAL HEART PINK LARGE,This product belongs to the Decor category.,Decor
1884,SANDALWOOD FAN,This product falls under the category of Decor.,Decor
1885,HANGING HEART JAR T-LIGHT HOLDER,This product falls under the category of Decor since it is a hanging heart jar tea light holder.,"['tea', 'holder']"
1886,PACK 6 HEART/ICE-CREAM PATCHES,This product falls under the category of **Apparel**.,"['*', '*']"
1887,CREAM AND PINK FLOWERS PONY ,"This product would most likely fall under the category of ""Decor"" or ""Home Decor"".","['Home', 'Decor']"
1888,BLUE CIRCLES DESIGN TEDDY,This product would likely fall under the category of Toys or Plush Toys.,"['Plush', 'Toys']"
1889,CRYSTAL FROG PHONE CHARM,This product falls under the category of Accessories or Novelty Items.,"['Novelty', 'Items']"
1890,SOMBRERO ,"This product can be classified as ""Apparel and Accessories"".","['Apparel', 'Accessories']"
1891,ANIMAL STICKERS,Stationery,Stationery
1892,GREEN BITTY LIGHT CHAIN,This product falls into the category of Lighting.,Lighting
1893,RAIN PONCHO ,This product falls under the category of 'Outdoor & Adventure'.,"[""'Outdoor"", 'Adventure']"
1894,ASSORTED TUTTI FRUTTI BRACELET,"This product would likely fall under the ""Accessories"" category.",Accessories
1895,BLUE TRAVEL FIRST AID KIT,"This product belongs to the ""Wellness"" category.",Wellness
1896,FRENCH TOILET SIGN BLUE METAL,"This product would likely fall under the category of ""Decor.""",Decor
1897,BAG OF SILVER STONES,This product can be classified as Decor or Home Goods.,"['Home', 'Goods']"
1898,ABSTRACT CIRCLES SKETCHBOOK ,Stationery,Stationery
1899,TEA TIME BREAKFAST BASKET,Category: Drinkware,Drinkware
1900,ALPHABET HEARTS STICKER SHEET,"This product would fall under the category of ""Stationery.""",Stationery
1901,FOLKART STAR CHRISTMAS DECORATIONS,Category: Decor,Decor
1902,ASS COLOUR GLOWING TIARAS,This product can be classified under the category of Lighting or Accessories.,Accessories
1903,WHITE BELL HONEYCOMB PAPER GARLAND ,"This product would fall under the category of ""Decor"".",Decor
1904,SMALL SILVER TRELLIS CANDLEPOT,This product falls under the category of Lighting.,Lighting
1905,ROBIN CHRISTMAS CARD,This product falls under the category of Stationery.,Stationery
1906,36 PENCILS TUBE POSY,Stationery,Stationery
1907,FOLKART ZINC STAR CHRISTMAS DEC,"This product falls under the category of Decor, specifically Christmas decorations.","['Christmas', 'decorations']"
1908,"STRING OF 8 BUTTERFLIES,PINK","This product would fall under the category of ""Decor"".",Decor
1909,UTILTY CABINET WITH HOOKS,"This product would fall under the category of ""Furniture"" or ""Storage & Organization.""","['Storage', 'Organization']"
1910,FRENCH BLUE METAL DOOR SIGN 9,"This product would fall under the ""Decor"" category.",Decor
1911,BATHROOM SCALES RUBBER DUCKS,Category: Wellness,Wellness
1912,FLOOR CUSHION ELEPHANT CARNIVAL,This product falls into the category of Decor.,Decor
1913,RABBIT  DESIGN  COTTON TOTE BAG,"This product falls under the category of ""Fashion Accessories"" or ""Bags and Totes.""","['Bags', 'Totes']"
1914,JIGSAW TREE WITH BIRDHOUSE,"This product would fall under the category of Decor, specifically Home Decor or Garden Decor.","['Garden', 'Decor']"
1915,EASTER TIN BUNNY BOUQUET,This product belongs to the Decor category.,Decor
1916,EASTER TIN CHICKS PINK DAISY,Decor,Decor
1917,MOTORING TISSUE BOX,This product would fall under the category of Decor.,Decor
1918,KENSINGTON COFFEE SET,This product belongs to the Drinkware category.,Drinkware
1919,SET/12 FUNKY FELT FLOWER PEG IN BAG,Decor,Decor
1920,PARTY CONES CANDY TREE DECORATION,This product can be classified as Decor.,"['product', 'Decor']"
1921,SET OF 6 T-LIGHTS EASTER CHICKS,"This product falls under the category of ""Decor,"" specifically under decorative lighting items.","['lighting', 'items']"
1922,PINK PADDED MOBILE,"This product can be classified under the category of ""Mobile Accessories"".","['Mobile', 'Accessories']"
1923,S/12 MINI RABBIT EASTER,"This product is classified under ""Decor"" as it is related to Easter decorations with mini rabbit figurines.","['rabbit', 'figurines']"
1924,MEDIUM MEDINA STAMPED METAL BOWL ,Decor,Decor
1925,MIRROR CORNICE,This product falls under the category of 'Decor'.,'Decor
1926,BLUE & WHITE BREAKFAST TRAY,Category: Decor,Decor
1927,RETRO PLASTIC 70'S TRAY,"This product would fall under the ""Decor"" category.",Decor
1928,PAPER POCKET TRAVELING FAN ,"This product would fall under the category of ""Wellness"" as it is a portable fan designed for personal comfort and cooling during travel.","['comfort', 'travel']"
1929,BEADED CRYSTAL HEART GREEN SMALL,"This product falls under the ""Decor"" category.",Decor
1930,HANGING FAIRY CAKE DECORATION,This product would be classified under the category of Decor.,Decor
1931,BLUE TEATIME PRINT BOWL ,This product would likely fall under the category of 'Kitchenware' or 'Tableware'.,'Kitchenware
1932,HOUSE WRECKING METAL SIGN ,Decor,Decor
1933,BISCUIT TIN VINTAGE GREEN,"This product falls into the ""Decor"" category.",Decor
1934,FRYING PAN RED RETROSPOT,This product belongs to the category of Kitchenware or Cookware.,"['Kitchenware', 'Cookware']"
1935,SET OF 16 VINTAGE ROSE CUTLERY,This product falls under the category of 'Kitchenware'.,'Kitchenware
1936,NEW ENGLAND MUG W GIFT BOX,"This product belongs to the category of Drinkware, specifically a mug with a gift box.","['gift', 'box']"
1937,PINK GREEN EMBROIDERY COSMETIC BAG,"This product would fall under the category of Wellness or Beauty, given that it is a cosmetic bag designed for storing beauty products such as makeup and skincare items.","['makeup', 'items']"
1938,BLUE GREEN EMBROIDERY COSMETIC BAG,"This product can be categorized under ""Fashion & Accessories"" or more specifically under ""Travel Accessories & Bags.""","['Accessories', 'Bags']"
1939,PAIR PADDED HANGERS PINK CHECK,The product 'PAIR PADDED HANGERS PINK CHECK' can be classified into the category of Home Organization or Closet Organization.,"['Closet', 'Organization']"
1940,SMALL SILVER FLOWER CANDLE POT,"This product belongs to the ""Decor"" category.",Decor
1941,RED ROSE AND LACE C/COVER,"This product can be classified under the category of ""Home Decor"" or ""Bedding & Linens"" as it appears to be a red rose and lace cushion cover.","['cushion', 'cover']"
1942,WOODLAND STORAGE BOX LARGE ,Decor,Decor
1943,GLITTER CHRISTMAS STAR ,Decor,Decor
1944,CARD SUKI BIRTHDAY,This product belongs in the Stationery category.,Stationery
1945,WRAP SUKI AND FRIENDS,Stationery,Stationery
1946,BIRDCAGE DECORATION TEALIGHT HOLDER,"This product can be classified under the category of Decor, specifically in Home Decor or Lighting.","['Decor', 'Lighting']"
1947,BLUE PUDDING SPOON,This product falls under the category of Kitchenware.,Kitchenware
1948,RETRO PINK BALL ASHTRAY ,This product falls under the category of Decor.,Decor
1949,SUMMER FUN DESIGN SHOWER CAP,This product falls under the category of Wellness.,Wellness
1950,STRIPY DESIGN SHOWER CAP,This product can be classified under the category of Wellness or Bath and Body.,"['Bath', 'Body']"
1951,SET/4 DAISY MIRROR MAGNETS,This product fits into the Decor category.,Decor
1952,SET/4 BIRD MIRROR MAGNETS ,Decor,Decor
1953,SET/4 BUTTERFLY MIRROR MAGNETS,Decor,Decor
1954,FRENCH STYLE EMBOSSED HEART CABINET,"This product falls under the category of Decor, specifically in the subcategory of Furniture/Home Decor.","['Furniture/Home', 'Decor']"
1955,SKULL DESIGN TV DINNER TRAY,"This product falls under the ""Home Decor"" category.",Decor
1956,GREEN SWEETHEART BRACELET,"This product could fall under the category of ""Jewelry"" or ""Fashion Accessories"".","['Fashion', 'Accessories']"
1957,CARNIVAL BRACELET,"Based on the provided product description 'CARNIVAL BRACELET', this product can be classified into the category of Jewelry or Accessories.","['Jewelry', 'Accessories']"
1958,4 PEAR BOTANICAL DINNER CANDLES,This product falls under the category of Lighting.,Lighting
1959,FUNKY MONKEY MUG,This product falls under the category of Drinkware.,Drinkware
1960,ECONOMY LUGGAGE TAG,This product belongs in the Travel Accessories category.,Accessories
1961,HEART CALCULATOR,This product can be classified under the category of Stationery or Electronic Gadgets.,"['Electronic', 'Gadgets']"
1962,BISCUITS SMALL BOWL LIGHT BLUE,Decor,Decor
1963,SMALL MARSHMALLOWS PINK BOWL,"This product can be classified as ""Kitchenware"" or ""Serveware"".","['Kitchenware', 'Serveware']"
1964,PARTY PIZZA DISH GREEN POLKADOT,"This product can be classified as a Home & Kitchen item, specifically in the Kitchenware category.",Kitchenware
1965,PARTY PIZZA DISH PINK POLKADOT,"This product belongs to the ""Kitchen & Dining"" category, specifically under the subcategory of ""Cookware & Bakeware"".","['Cookware', 'Bakeware']"
1966,ASSORTED CHEESE FRIDGE MAGNETS,This product can be classified as Decor.,"['product', 'Decor']"
1967,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,"This product can be classified under the category of Decor, specifically under Home Decor or Seasonal Decor.","['Seasonal', 'Decor']"
1968,"BREAD BIN, DINER STYLE, MINT","This product belongs to the ""Kitchen & Dining"" category, specifically under ""Storage & Organization"" as it is a bread bin.","['Organization', 'bin']"
1969,"BREAD BIN, DINER STYLE, IVORY","This product would likely fall under the category of ""Kitchenware"" or ""Food Storage"" as it is a bread bin used for storing bread in a diner-style design and ivory color.","['ivory', 'color']"
1970,CARD GINGHAM ROSE ,This product falls under the category of Stationery.,Stationery
1971,ROSE 1 WICK MORRIS BOXED CANDLE,"This product belongs in the ""Home Fragrance"" or possibly ""Decor"" category.",Decor
1972,DOLLY HONEYCOMB GARLAND,Decor,Decor
1973,PINK KNITTED EGG COSY,"This product would fall into the ""Home Decor"" category, specifically under the ""Kitchen and Dining"" subcategory.","['Dining', 'subcategory']"
1974,BLUE KNITTED EGG COSY,This product belongs to the category of Home Decor.,"['Home', 'Decor']"
1975,WAY OUT METAL SIGN ,"This product would likely fall under the category of ""Decor"", specifically under wall art or signage.","['art', 'signage']"
1976,SAVOY ART DECO CLOCK,Decor,Decor
1977,HALL CABINET WITH 3 DRAWERS,This product falls under the category of Furniture or Home Decor.,"['Home', 'Decor']"
1978,DOORMAT HOME SWEET HOME BLUE ,"This product would fall under the category of ""Decor"".",Decor
1979,BLUE WIRE SPIRAL CANDLE HOLDER,This product belongs to the Decor category.,Decor
1980,S/12 VANILLA  BOTANICAL T-LIGHTS,This product belongs to the Lighting category.,Lighting
1981,SMALL HAMMERED SILVER CANDLEPOT ,This product belongs to the category of Decor.,Decor
1982,WHITE CHRYSANTHEMUMS ART FLOWER,This product falls under the category of Decor.,Decor
1983,RETRO PLASTIC DAISY TRAY,This product would fall into the 'Decor' category.,'Decor
1984,ANGEL DECORATION WITH LACE PADDED,Decor,Decor
1985,SUNSET CHECK HAMMOCK,This product falls under the category of Outdoor & Garden Furniture.,"['Garden', 'Furniture']"
1986,CHRYSANTHEMUM  JOURNAL,This product falls under the category of Stationery.,Stationery
1987,ASSTD MULTICOLOUR CIRCLES MUG,This product can be classified as Drinkware.,"['product', 'Drinkware']"
1988,FRENCH CHATEAU LARGE PLATTER ,Decor,Decor
1989,ENVELOPE 50 CURIOUS IMAGES,Stationery,Stationery
1990,FOLDING CAMPING SCISSOR W/KNIF & S,This product can be classified in the category of Camping Gear.,Gear
1991,HAND OPEN SHAPE DECO.WHITE,This product belongs to the Decor category.,Decor
1992,PINK JEWELLED MIRROR TRINKET TRAY,"This product falls under the category of Decor, particularly as a trinket tray.","['trinket', 'tray']"
1993,WHITE SAGE INCENSE,Wellness,Wellness
1994,AFGHAN SLIPPER SOCK PAIR,"This product falls under the category of ""Apparel"" or ""Footwear.""",Apparel
1995,CITRONELLA CANDLE FLOWERPOT,"This product falls under the category of Wellness, specifically in the subcategory of Outdoor Essentials, given that it is a citronella candle designed to repel insects and pests while providing a pleasant fragrance.","['pests', 'fragrance']"
1996,SMALL GLASS SUNDAE DISH CLEAR,This product falls into the category of Drinkware.,Drinkware
1997,VINTAGE CARAVAN GIFT WRAP,This product falls under the category of Stationery.,Stationery
1998,GOLD EAR MUFF HEADPHONES,"This product can be classified under the category of ""Accessories"" or more specifically, ""Audio Accessories.""","['Audio', 'Accessories']"
1999,PAPERWEIGHT SAVE THE PLANET,"This product can be classified under the category of ""Stationery.""",Stationery
2000,SWEETHEART CARRY-ALL BASKET,This product can be classified under the category of Decor.,Decor
2001,RED RETROSPOT STORAGE JAR,This product falls under the category of Decor.,Decor
2002,PARTY FOOD SHOPPER BAG,This product falls under the category of Bags - specifically a Shopping Bag.,"['Shopping', 'Bag']"
2003,CAMOUFLAGE EAR MUFF HEADPHONES,"This product falls under the category of ""Electronics"" or ""Tech Accessories"".","['Electronics', 'Accessories']"
2004,ZINC HEART LATTICE CHARGER LARGE,This product falls under the category of Decor.,Decor
2005,SMALL POLKADOT CHOCOLATE GIFT BAG ,"This product would fall under the category of ""Gifts"" or ""Gourmet Food.""","['Gifts', 'Food']"
2006,GLASS CHALICE GREEN  SMALL ,Drinkware,Drinkware
2007,RELAX LARGE WOOD LETTERS,"This product belongs to the ""Decor"" category.",Decor
2008,BLUE POLKADOT EGG CUP ,This product can be classified under the category of Kitchenware or Tableware.,"['Kitchenware', 'Tableware']"
2009,ELEPHANT CARNIVAL POUFFE,This product falls under the category of decor.,decor
2010,VINTAGE PINK DECORATIVE PARASOL,"This product falls under the ""Decor"" category.",Decor
2011,MIRROR MOSAIC HURRICANE LAMP ,This product falls under the category of Lighting.,Lighting
2012,PING! MICROWAVE PLATE,This product falls under the category of Kitchenware.,Kitchenware
2013,CAKE STAND LOVEBIRD 2 TIER PINK,This product fits into the Decor category.,Decor
2014,CAKE PLATE LOVEBIRD PINK,"This product would fall under the category of ""Decor"".",Decor
2015,12 EGG HOUSE PAINTED WOOD,This product can be classified under Decor.,"['product', 'Decor']"
2016,ROUND CONTAINER SET OF 5 RETROSPOT,This product falls under the category of Decor.,Decor
2017,SET OF 36 DOILIES SPACEBOY DESIGN ,This product falls under the category of Decor.,Decor
2018,PACK OF 20 SPACEBOY NAPKINS,"This product falls under the category of ""Decor"" and ""Party Supplies"".","['Party', 'Supplies']"
2019,VINTAGE BEAD PINK PURSE ,This product falls under the category of Fashion/Accessories.,Fashion/Accessories
2020,VINTAGE BEAD PINK SCARF ,"This product falls under the category of ""Fashion Accessories"".","['Fashion', 'Accessories']"
2021,CERAMIC CAKE DESIGN SPOTTED PLATE,"This product falls under the category of ""Decor"".",Decor
2022,FUNKY MONKEY CUSHION COVER,This product would most likely fall under the category of Decor.,Decor
2023,WOVEN FROST CUSHION COVER,Decor,Decor
2024,WOVEN CANDY CUSHION COVER ,Decor,Decor
2025,TURQ ICE CREAM BUM BAG ,"This product would likely fall into the category of ""Fashion Accessories.""","['Fashion', 'Accessories']"
2026,SET/4 WHITE RETRO STORAGE CUBES ,"This product falls under the ""Storage"" category.",Storage
2027,HEN HOUSE W CHICK STANDING,"This product likely falls under the category of Home Decor, specifically in the subcategory of Figurines or Statues.","['Figurines', 'Statues']"
2028,GIRLS ALPHABET IRON ON PATCHES ,"This product would fall under the ""Stationery"" category.",Stationery
2029,ENCHANTED BIRD PLANT CAGE,"This product would likely fall under the ""Decor"" category.",Decor
2030,SET OF 4 DIAMOND NAPKIN RINGS,Decor,Decor
2031,CANDY SPOT EGG WARMER HARE,This product falls under the category of Decor.,Decor
2032,HILDA CANDY SPOT RABBIT,"This product falls under the category of Decor, specifically in the subcategory of Home Decor or Figurines.","['Decor', 'Figurines']"
2033,HANGING WOOD AND FELT HEART,This product falls under the Decor category.,Decor
2034,HANGING WOOD AND FELT FLOWER,This product can be classified as Decor.,"['product', 'Decor']"
2035,ANTIQUE OLIVE GREEN FLOWER EARRINGS,This product falls under the category of Jewelry.,Jewelry
2036,GREEN VINTAGE EARRINGS ,This product falls under the category of Jewelry.,Jewelry
2037,GOLD M PEARL  ORBIT NECKLACE,This product falls under the category of Jewelry.,Jewelry
2038,CRYSTAL STILETTO PHONE CHARM,This product falls under the category of Accessories or Electronics Accessories.,"['Electronics', 'Accessories']"
2039,LIGHT TOPAZ TEAL/AQUA COL NECKLACE,This product falls under the category of Jewelry.,Jewelry
2040,PINK SWEETIE NECKLACE,This product falls under the category of Accessories.,Accessories
2041,IVORY PENDANT TRIPLE SHELL NECKLACE,This product falls under the category of Jewelry.,Jewelry
2042,ST TROPEZ NECKLACE,This product falls under the category of Jewelry.,Jewelry
2043,AMBER DROP EARRINGS W LONG BEADS,This product falls under the category of Jewelry.,Jewelry
2044,AMETHYST DROP EARRINGS W LONG BEADS,This product can be classified as 'Jewelry'.,"['product', ""'Jewelry""]"
2045,BLACK ENAMEL FLOWER RING,This product can be classified as Jewelry.,"['product', 'Jewelry']"
2046,JET BLACK LAS VEGAS BRACELET ROUND,This product can be classified as Jewelry.,"['product', 'Jewelry']"
2047,PINK JEWELLED PHOTO FRAME,This product belongs in the category of Decor.,Decor
2048,POCKET BAG BLUE PAISLEY RED SPOT,This product falls under the category of Bags or Accessories.,"['Bags', 'Accessories']"
2049,POCKET BAG PINK PAISELY BROWN SPOT,"This product falls under the category of ""Bags"".",Bags
2050,BOTTLE BAG RETROSPOT ,This product falls into the 'Drinkware' category.,'Drinkware
2051,SET OF 2 ROUND TINS CAMEMBERT ,This product falls under the category of Kitchen & Dining or Food Storage as it is a set of two round tins designed to store Camembert cheese.,"['Camembert', 'cheese']"
2052,CHILDS GARDEN TROWEL PINK,This product falls under the category of Gardening Tools.,"['Gardening', 'Tools']"
2053,CHILDS GARDEN FORK PINK,This product falls into the category of Gardening Tools.,"['Gardening', 'Tools']"
2054,FRENCH BLUE METAL DOOR SIGN 2,Decor,Decor
2055,FRENCH BLUE METAL DOOR SIGN 7,Decor,Decor
2056,CARD WEDDING DAY,This product falls under the category of Stationery.,Stationery
2057,SET OF PICTURE FRAME  STICKERS,This product can be classified as Decor because it involves decorating picture frames with stickers.,"['frames', 'stickers']"
2058,PINK GOOSE FEATHER TREE 60CM,This product falls into the category of Home Decor.,"['Home', 'Decor']"
2059,IVORY HANGING DECORATION  BIRD,This product falls under the category of Decor.,Decor
2060,FRENCH LAVENDER SCENT HEART,"This product can be classified as a Wellness product, specifically under Aromatherapy or Home Fragrance, as it is a French lavender scented heart meant to create a calming and relaxing atmosphere.","['calming', 'relaxing']"
2061,BLUE EGG  SPOON,This product falls under the category of Kitchenware or Utensils.,"['Kitchenware', 'Utensils']"
2062,DAIRY MAID LARGE MILK JUG,This product falls into the category of Drinkware.,Drinkware
2063,4 WILDFLOWER BOTANICAL CANDLES,This product belongs to the category of Decor.,Decor
2064,GARLAND WITH HEARTS AND BELLS,This product can be classified as Decor.,"['product', 'Decor']"
2065,GREEN  DIAMANTE PEN IN GIFT BOX,This product belongs to the category of Stationery.,Stationery
2066,CAKES AND RABBITS DESIGN FLANNEL ,This product falls under the category of Textiles or Home Decor.,"['Home', 'Decor']"
2067,MIRROR MOSAIC CANDLE PLATE,This product falls under the category of Decor.,Decor
2068,BIRD DECORATION GREEN POLKADOT,"This product falls under the ""Decor"" category.",Decor
